AÑO,ACTUAL,ANTERIOR,VARIACION
2016,65,0,-inf
2017,56,65,13.846153846153847
2018,57,56,-1.7857142857142856
2019,49,57,14.035087719298245
2020,28,49,42.857142857142854
2021,46,28,-64.28571428571429
